id,emotion,stimulus_set,domain,n_tokens_prompt,colon_token_idx,model_id,prompt_type,top5_predictions,correct,final_token_str,matched_control_id
N-terror-d3-c4,neutral,neutral,3,140,139,llama1b_inst,zero_shot,"['The', 'None', '', 'Cur', 'She']",false,:,B-terror-d3-v4
N-vigilance-d1-c1,neutral,neutral,1,151,150,llama1b_inst,zero_shot,"['The', '', 'None', 'Cur', '']",false,:,B-vigilance-d1-v1
N-vigilance-d1-c2,neutral,neutral,1,146,145,llama1b_inst,zero_shot,"['The', '', '', 'None', 'happiness']",false,:,B-vigilance-d1-v2
N-vigilance-d1-c3,neutral,neutral,1,143,142,llama1b_inst,zero_shot,"['The', 'None', '', 'There', '']",false,:,B-vigilance-d1-v3
N-vigilance-d1-c4,neutral,neutral,1,155,154,llama1b_inst,zero_shot,"['', 'The', '', 'I', 'In']",false,:,B-vigilance-d1-v4
N-vigilance-d2-c1,neutral,neutral,2,151,150,llama1b_inst,zero_shot,"['The', '', 'None', 'I', 'She']",false,:,B-vigilance-d2-v1
N-vigilance-d2-c2,neutral,neutral,2,146,145,llama1b_inst,zero_shot,"['The', '', 'Em', 'None', '']",false,:,B-vigilance-d2-v2
N-vigilance-d2-c3,neutral,neutral,2,143,142,llama1b_inst,zero_shot,"['The', 'None', '', 'F', '']",false,:,B-vigilance-d2-v3
N-vigilance-d2-c4,neutral,neutral,2,146,145,llama1b_inst,zero_shot,"['The', '', '', 'F', '']",false,:,B-vigilance-d2-v4
N-vigilance-d3-c1,neutral,neutral,3,162,161,llama1b_inst,zero_shot,"['The', '', 'None', 'She', '']",false,:,B-vigilance-d3-v1
N-vigilance-d3-c2,neutral,neutral,3,150,149,llama1b_inst,zero_shot,"['The', 'None', '', 'She', '']",false,:,B-vigilance-d3-v2
N-vigilance-d3-c3,neutral,neutral,3,159,158,llama1b_inst,zero_shot,"['The', '', 'She', '', 'This']",false,:,B-vigilance-d3-v3
N-vigilance-d3-c4,neutral,neutral,3,149,148,llama1b_inst,zero_shot,"['The', 'None', '', '', 'There']",false,:,B-vigilance-d3-v4
